,EMPRESA,BARRA TRANSFERENCIA,CODIGO,ENTREGA/RETIRO,CENTRAL/CLIENTE
4,TERMOSELVA,AGUAYTIA 220,EG00002TER,Entrega,C.T. AGUAYTIA
5,HIDROCAÑETE S.A.,CANTERA 220,EG00001HDC,Entrega,C.H. IMPERIAL
6,EMPRESA ELECTRICA RIO DOBLE,CARHUAQUERO 220,EG00001RDB,Entrega,C.H. LAS PIZARRAS
7,EGASA,CHARCANI IV 33,EG00012EGA,Entrega,C.H. CHARCANI IV
8,EGASA,CHARCANI VI 33,EG00017EGA,Entrega,C.H. CHARCANI VI
9,EGESUR,CT INDEPENDENCIA 60,EG00013EGS,Entrega,C.T. INDEPENDENCIA
10,EGASA,CT PISCO 60,EG00029EGA,Entrega,C.T. PISCO
11,TACNA SOLAR SAC.,LOS HEROES 66,EG00002TSS,Entrega,C.S. TACNA SOLAR
12,EGEMSA,MACHUPICCHU 138,EG00034EGM,Entrega,C.H. MACHUPICCHU
13,PARQUE EOLICO MARCONA S.A.C.,MARCONA 220,EG00001PEM,Entrega,C.E. MARCONA
14,EGASA,MOLLENDO 138,EG00041EGA,Entrega,C.T. MOLLENDO T
15,TERMOCHILCA,OLLEROS 500,EG00023TCH,Entrega,C.T. OLLEROS
16,MAJA ENERGIA S.A.C.,PARAMONGA NUEVA 220,EG00001MAJ,Entrega,C.H. RONCADOR
17,SINERSA,PIURA OESTE 220,EG00001SIN,Entrega,C.H. POECHOS II
18,GENERADORA DE ENERGÍA DEL PERÚ,REPARTICIÓN 138,EG00001GEP,Entrega,C.H. LA JOYA
19,MAJES ARCUS S.A.C.,REPARTICIÓN 138,EG00001GMJ,Entrega,C.S. MAJES SOLAR
20,REPARTICIÓN ARCUS S.A.C.,REPARTICIÓN 138,EG00001GRP,Entrega,C.S. REPARTICION
21,SHOUGESA,SAN NICOLAS 13.8,EG00005SHO,Entrega,C.T. SAN NICOLAS
22,PETRAMAS,SANTA ROSA 220,EG00001PTM,Entrega,C.T. HUAYCOLORO
23,ENERGÍA EÓLICA S.A.,TALARA 220,EG00001ENE,Entrega,C.E. TALARA
24,MOQUEGUA FV S.A.C.,ILO ELP 138,EG00001MQS,Entrega,C.S. MOQUEGUA FV
25,PANAMERICANA  SOLAR SAC.,ILO ELP 138,EG00001PNS,Entrega,C.S. PANAMERICANA SOLAR
26,EGASA,CHILINA 33,EG00023EGA,Entrega,C.T. CHILINA DIESEL
27,FENIX POWER PERÚ,FENIX 500,EG00015FPP,Entrega,C.T. FENIX
28,EMPRESA DE GENERACION HUANZA,HUANZA 220,EG00007EGH,Entrega,C.H. HUANZA
29,ELECTROPERU,RESTITUCIÓN 220,EG00073ELP,Entrega,C.H. RESTITUCION
30,ENEL GENERACION PIURA S.A.,TALARA 220,EG00036EPI,Entrega,C.T. MALACAS 2
31,EGEJUNIN,HUALLANCA 138,EG00002SCR,Entrega,C.H. SANTA CRUZ I
32,EGEJUNIN,HUALLANCA 138,EG00003SCR,Entrega,C.H. SANTA CRUZ II
33,EGEJUNIN,CARIPA138,EG00004SCR,Entrega,C.H. HUASAHUASI I
34,EGEJUNIN,CARIPA138,EG00006SCR,Entrega,C.H. HUASAHUASI II
35,SAN GABAN,SAN GABAN 138,EG00023SGB,Entrega,C.H. SAN GABAN II
36,EMPRESA DE GENERACION ELECTRICA CANCHAYLLO SAC,OROYA NUEVA 50,EG00118CCO,Entrega,C.H. CANCHAYLLO
37,EGEJUNIN,HUAYUCACHI 220,EG00002EGJ,Entrega,C.H. RUNATULLO II
38,EGEJUNIN,HUAYUCACHI 220,EG00001EGJ,Entrega,C.H. RUNATULLO III
39,EGESUR,ARICOTA1 66,EG00008EGS,Entrega,C.H. ARICOTA I
40,EGESUR,ARICOTA2 138,EG00009EGS,Entrega,C.H. ARICOTA II
41,PLANTA DE RESERVA FRIA DE GENERACION  DE ETEN S.A.,CT ETEN 220,EG00001ETN,Entrega,C.T. RF DE GENERACION ETEN
42,AGRO INDUSTRIAL PARAMONGA,PARAMONGA EXISTENTE 138,EG00001AIP,Entrega,C.T. PARAMONGA
43,AGROAURORA S.A.C.,PLANTAETANOL 60,EG00001AGR,Entrega,C.T. MAPLE ETANOL
44,CELEPSA,PLATANAL220,EG00062CLP,Entrega,C.H. EL PLATANAL
45,CHINANGO S.A.C.,CHIMAY220,EG00014CHI,Entrega,C.H. CHIMAY
46,CHINANGO S.A.C.,YANANGO220,EG00048CHI,Entrega,C.H. YANANGO
47,EGASA,CHARCANI I 33,EG00011EGA,Entrega,C.H. CHARCANI I
48,EGASA,SANTUARIO 138,EG00054EGA,Entrega,C.H. CHARCANI V
49,ELECTROPERU,CAMPO ARMIÑO 220,EG00055ELP,Entrega,C.H. MANTARO
50,ENERGÍA EÓLICA S.A.,GUADALUPE 220,EG00002ENE,Entrega,C.E. CUPISNIQUE
51,HIDROELECTRICA HUANCHOR S.A.C.,HUANCHOR50,EG00001HHU,Entrega,C.H. HUANCHOR
52,SDF ENERGIA,OQUENDO60,EG00002SDF,Entrega,C.T. OQUENDO
53,ELECTRICA YANAPAMPA SAC,PARAMONGA NUEVA 138,EG00002YAN,Entrega,C.H. YANAPAMPA
54,MINERA CERRO VERDE,RECKA 220,EG00001MCV,Entrega,C.T. RECKA
55,PARQUE EOLICO TRES HERMANAS S.A.C.,MARCONA 220,EG00001PTH,Entrega,C.E. TRES HERMANAS
56,STATKRAFT S.A,CAHUA138,EG00001SKP,Entrega,C.H. CAHUA
57,STATKRAFT S.A,CHEVES 220,EG00002SKP,Entrega,C.H. CHEVES
58,STATKRAFT S.A,GALLITO CIEGO 60 ,EG00003SKP,Entrega,C.H. GALLITO CIEGO
59,STATKRAFT S.A,HUAYLLACHO 15,EG00006SKP,Entrega,C.H. HUAYLLACHO
60,STATKRAFT S.A,MALPASO 50,EG00007SKP,Entrega,C.H. MALPASO
61,STATKRAFT S.A,MISAPUQUIO 33,EG00008SKP,Entrega,C.H. MISAPUQUIO
62,STATKRAFT S.A,CH OROYA 50,EG00009SKP,Entrega,C.H. OROYA
63,STATKRAFT S.A,PACHACHACA50,EG00011SKP,Entrega,C.H. PACHACHACA
64,STATKRAFT S.A,PARIAC 66,EG00012SKP,Entrega,C.H. PARIAC
65,STATKRAFT S.A,SAN ANTONIO 15,EG00013SKP,Entrega,C.H. SAN ANTONIO
66,STATKRAFT S.A,SAN IGNACIO 15,EG00014SKP,Entrega,C.H. SAN IGNACIO
67,STATKRAFT S.A,YAUPI138,EG00015SKP,Entrega,C.H. YAUPI
68,SAMAY I S.A.C,PUERTO BRAVO 500,EG00001SAM,Entrega,C.T. PUERTO BRAVO
69,EMPRESA DE GENERACION HUALLAGA,PIEDRA BLANCA 34.5 kV,EG00002ODE,Entrega,P.C.H. CHAGLLA
70,EMPRESA DE GENERACION HUALLAGA,CHAGLLA 220,EG00001ODE,Entrega,C.H. CHAGLLA
71,ENGIE,CHILCA UNO 220,EG00030ENG,Entrega,C.T. CHILCA 1
72,ENGIE,ILO1 138,EG00060ENG,Entrega,C.T. ILO 1
73,ENGIE,ILO2 220,EG00056ENG,Entrega,C.T. ILO 2
74,ENGIE,QUITARACSA 220,EG00050ENG,Entrega,C.H. QUITARACSA
75,ENGIE,ILO2 220,EG00057ENG,Entrega,C.T. RF PLANTA ILO
76,ENGIE,SANTA ISABEL 220,EG00098ENG,Entrega,C.H. YUNCAN
77,SAN GABAN,JULIACA10,EG00024SGB,Entrega,C.T. TAPARACHI
78,ENGIE,ZORRITOS 220,EG00020ENG,Entrega,C.T. CHILCA 1
79,SAMAY I S.A.C,SAN JOSÉ 500 kV,EG00002SAM,Entrega,C.T. PUERTO BRAVO
80,ENGIE,CHILCA UNO 220,EG00010ENG,Entrega,C.T. CHILCA 2
81,SINERSA,ZAPALLAL 220,EG00002SIN,Entrega,C.H. CHANCAY
82,INFRAESTRUCTURAS Y ENERGIAS DEL PERU S.A.C.,PUERTO MALDONADO 10,EG00001IYE,Entrega,C.T. RF PTO MALDONADO
83,INFRAESTRUCTURAS Y ENERGIAS DEL PERU S.A.C.,PUCALLPA 60,EG00002IYE,Entrega,C.T. RF PUCALLPA
84,ENGIE,S.E. ILO4 500,EG00099ENG,Entrega,C.T. NEPI
85,ENEL GENERACION PERU S.A.A.,CALLAHUANCA 60,EG00017EPE,Entrega,C.H. CALLAHUANCA
86,ENEL GENERACION PERU S.A.A.,HUAMPANI 60,EG00051EPE,Entrega,C.H. HUAMPANI
87,ENEL GENERACION PERU S.A.A.,HUINCO 220,EG00057EPE,Entrega,C.H. HUINCO
88,ENEL GENERACION PERU S.A.A.,MATUCANA 220,EG00068EPE,Entrega,C.H. MATUCANA
89,ENEL GENERACION PERU S.A.A.,MOYOPAMPA 60,EG00072EPE,Entrega,C.H. MOYOPAMPA
90,ENEL GENERACION PERU S.A.A.,SANTA ROSA 220,EG00102EPE,Entrega,C.T. SANTA ROSA I
91,ENEL GENERACION PERU S.A.A.,VENTANILLA 220,EG00117EPE,Entrega,C.T. VENTANILLA
92,ENEL GENERACION PERU S.A.A.,ZORRITOS 220,EG00118EPE,Entrega,C.H. HUINCO
93,EMPRESA ELECTRICA AGUA AZUL,CAJAMARCA 220,EG00001EAA,Entrega,C.H. POTRERO
94,HUAURA POWER GROUP S.A.,HUACHO 220,EG00001HPG,Entrega,C.H. YARUCAYA
95,KALLPA GENERACION S.A.,CERRO DEL AGUILA 220,EG00001KLL,Entrega,C.H. CERRO DEL AGUILA
96,KALLPA GENERACION S.A.,CHILCA REP 220,EG00002KLL,Entrega,C.T. KALLPA
97,KALLPA GENERACION S.A.,LAS FLORES 220,EG00003KLL,Entrega,C.T. LAS FLORES
98,ORAZUL ENERGY PERÚ,CARHUAQUERO 220,EG00010OEP,Entrega,C.H. CARHUAQUERO
99,ORAZUL ENERGY PERÚ,CARHUAQUERO 220,EG00011OEP,Entrega,C.H. CARHUAQUERO IV
100,ORAZUL ENERGY PERÚ,CARHUAQUERO 220,EG00012OEP,Entrega,C.H. CAÑA BRAVA
101,ORAZUL ENERGY PERÚ,HUALLANCA 138,EG00031OEP,Entrega,C.H. CAÑON DEL PATO
102,KALLPA GENERACION S.A.,CERRO DEL AGUILA 220,EG00004KLL,Entrega,M.C.H. CERRO DEL AGUILA
103,ENEL GENERACION PERU S.A.A.,MONTALVO220,EG00001EGP,Entrega,C.S. RUBI
